Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,9/19/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Nepal,NPL,"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,NPL,Battle-related deaths (number of people),VC.BTL.DETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,40,250,156,268,429,3946,1341,1880,1104,457,,,,,,,,,,,,,,,,
Nepal,NPL,Voice and Accountability: Percentile Rank,VA.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5,,44.27860641,,42.78606796,,24.8756218,22.38805962,17.30769157,14.42307663,23.07692337,30.76922989,32.21154022,33.64928818,33.64928818,32.39436722,28.16901398,30.51643181,33.00492477,32.01970291,37.93103409,39.40886688,39.61352539,39.61352539,42.02898407,42.99517059,
Nepal,NPL,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,6.291706387,5.385573861,6.632454723,7.323420074,7.7897269,8.662245826,7.211618757,8.882614022,13.31035592,9.294389286,7.689053592,6.506450499,3.668397216,1.465610028,3.617628433,10.66752357,18.7306763,15.82245725,8.757803351,9.339391127,11.18004556,6.902542537,13.72338362,12.34148635,14.96867369,15.62064055,18.85106199,11.87494368,9.122868876,12.01831412,13.95817068,10.91123404,5.52214509,6.374063721,6.833955232,5.244184056,4.326436122,3.014380585,2.722819834,2.965122319,5.064796971,6.373118293,6.761759244,6.617676133,5.753058028,5.762315689,5.773631637
Nepal,NPL,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,,,,,,,,,,,,,,,,,52.76453765,49.1623979,47.59328479,42.64869888,38.5382765,38.51175326,41.73868602,45.05455184,42.32648942,42.02963931,40.67138125,40.29859694,37.81075579,31.98401152,30.82177157,26.51671206,29.0449756,28.83186003,58.56560093,60.69009586,65.18725545,74.78823331,42.60509521,49.53952058,46.53459149,36.87471269,27.26815383,21.98186396,26.1128039,38.17614537,34.61237569,29.28881345,26.60430883,24.60677146,34.13217401,45.16057083,49.88149872,51.69350215,52.61951767,49.73211934,51.87228295,46.70069001,46.6014645,45.53547065,68.83426153,73.31224604,60.09307773
Nepal,NPL,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,,,,,,,,,,,,,,,,,,,,,,0.436709834,-1.18786E-08,-2.36853E-09,0.3261684,0.432182313,1.426477267,2.032594676,1.049509891,2.153309081,3.033559996,2.254487352,2.02256594,2.249455801,2.20869653,1.971821425,5.081921688,1.940035273,1.80342651,1.468966108,1.594899049,1.749450237,1.310400104,3.2606347,5.067253264,3.650427023,2.416691487,1.661796643,2.376306596,1.721143331,1.947150458,2.134174156,2.162516746,2.146985923,2.272950923,2.976235604,2.278469846,2.282570148,2.430597578,2.30373283,2.30629311,,
Nepal,NPL,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,,,,,,,,,,,,,,,,,,,,,,,0.002559557,,,,,,0.00044132,0.023971828,0.141599131,0.02579208,0.000129063,0.012858326,0.313394102,0.448230092,0.194390447,0.15117158,0.15779982,6.617183451,0.041968906,0.122894673,0.068955165,0.046766782,0.031272262,0.161549659,0.244868846,0.260391686,0.28950049,0.262204106,0.182407281,0.220491203,0.226370068,0.207984697,0.159801208,0.180834484,0.116843676,0.099018253,0.052791598,0.032859307,0.131853828,,
Nepal,NPL,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,,,,,,,,,,,,,,,,,,,,,,29.8087211,34.14321694,46.55220855,46.41900647,59.71647884,57.94951397,69.34423895,70.06932711,92.15237687,86.70865325,88.68008261,84.61553353,91.87044506,92.45032983,88.11893446,73.92391002,72.33560091,61.65464382,60.23148742,55.35056265,50.27188813,38.26631091,42.27204056,35.51507037,28.19889711,28.01238511,24.05037448,23.51427107,23.52977538,21.77205837,24.59035772,18.87774881,23.26212585,23.64194251,27.66547874,35.14986746,29.99364272,29.6663732,21.71800858,20.88128537,,
Nepal,NPL,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,,,,,,,,,,,,,,,35.91415462,37.65283364,32.960893,32.52768699,23.26458924,27.83082271,30.49718959,51.95240025,34.45887263,48.4033815,42.01997487,59.08559503,64.84415916,57.81239575,,,,,,,91.29665288,,,,71.16102485,77.05260958,66.75359565,,,74.03243168,,,,,,66.51974165,71.90242757,73.84838811,68.57579921,68.73936962,67.87126971,67.95492674,70.74446189,68.32312175,66.25648991,51.2548575,45.41570296,30.95133638,
Nepal,NPL,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,25.71232385,22.56554402,29.64115205,21.97724458,34.32968465,37.03455443,21.39534404,12.21429796,39.1465091,32.30150257,36.99041772,35.08165766,29.75064714,23.13913695,,,,,,,7.080212252,,,,8.328894119,20.9882985,9.959400709,,,20.5941202,,,,,,25.11384952,20.20493123,18.62529951,23.98129355,20.52758485,25.15874394,26.89596686,24.36423179,26.12469729,27.0802854,45.27984011,51.75949064,67.09495437,
